please,guaranteed,purchase,interested,store,account,customer,bank,sms,club,message,call,nationwide,cost,card,mail,apple,charges,update,today,Number of words,Number of Upper Case Words,Conatins Special Character,Noun,Pronoun,Adjective,Verb,Adverb,Preposition,Conjunction,Size,Number of Digits,Number of Alphabets,Number of Space,Number of Upper case letters,Number of Mathematical symbols,Number of punctuation symbols,Misspelled score,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,SMOGIndex,Phone Number,Email Id,URL present,Self Answering Type msg,Emotions present,Greeting tokens present,Contains visual morphemes,age_of_domain,is_atrate_present,is_hypen_present,number_of_dots,length_of_url,special_symbols_count_in_url,ssl_certifiacte_type,source_code_form_domain_match,apk_download_detection,Label
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,29,1,1,7,0,5,1,5,3,0,196,10,142,28,5,0,13,31.03,14.08606061,16.76454545,10.38556182,52.84909091,15.62424242,10.74596669,1,1,1,0,0,1,1,7225,0,0,3,34,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,1,8,0,3,0,0,1,0,103,10,67,14,3,0,11,60,5.483157895,7.157894737,6.470840579,89.59210526,9.705263158,8.477225575,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,2,0,11,0,5,4,0,2,0,209,8,158,31,9,4,6,25,11.91567568,18.58324324,10.25615651,75.53405405,16.96216216,10.74596669,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,2,1,5,0,4,0,3,1,0,123,10,82,19,3,0,9,20,5.693043478,8.91,6.432196522,95.21173913,10.93913043,8.477225575,1,1,1,0,0,1,1,859,0,0,4,34,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22,1,1,5,3,2,2,2,3,0,141,10,101,21,3,0,6,22.73,6.74,11.43333333,7.276091593,94.83,12.28148148,8.477225575,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,1,0,12,4,0,4,3,4,1,219,6,159,38,7,1,13,28.21,13.38043478,18.46456522,4.646764152,81.0623913,21.87826087,13.95445115,0,1,0,0,0,1,0,36,1,1,6,36,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,24,1,1,7,3,1,1,2,4,0,143,12,100,23,4,0,5,16.67,7.177037037,11.60777778,7.493863852,91.69666667,10.8,3,1,1,1,0,0,1,1,2173,0,0,4,35,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33,0,1,6,0,2,1,0,5,0,205,11,150,32,9,0,6,33.33,13.82918919,17.56486486,8.984837378,61.81513514,14.8,3,1,1,1,0,0,1,1,3764,0,0,5,32,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,1,0,5,1,1,3,1,2,0,184,8,140,27,6,0,7,32.14,12.74625,16.35375,10.46890438,60.67375,17.8,13.95445115,0,1,0,0,0,0,0,92,1,1,8,47,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,3,0,8,0,3,1,0,4,1,207,2,164,33,12,1,6,17.65,14.78594595,18.20135135,9.779411838,54.95567568,21.28648649,16.41640786,0,1,0,0,0,0,0,83,1,1,5,42,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30,3,1,8,2,2,5,3,2,1,184,10,134,29,4,0,8,20,10.90555556,15.41,6.896731111,80.995,15.51111111,8.477225575,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,34,4,0,3,0,1,3,2,2,1,231,24,162,33,18,3,8,32.35,12.695,20.4715,10.80082115,75.29,19,12.48683298,0,1,0,0,0,1,0,71,1,1,7,69,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,5,0,9,1,0,2,0,3,0,216,15,160,28,34,1,10,41.38,10.53428571,19.75457143,12.92109589,81.87571429,18.57142857,13.95445115,0,1,0,0,0,1,0,30,1,1,6,23,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,46,3,1,8,4,4,4,0,5,2,283,10,217,45,5,0,8,13.04,18.87647059,25.03411765,9.790154765,50.56411765,22.75294118,12.48683298,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,9,1,7,1,1,0,0,1,0,125,10,89,17,28,0,6,22.22,2.108181818,10.765,9.313649136,119.1322727,10.61818182,8.477225575,1,1,1,0,0,1,1,4866,0,0,3,25,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1,0,10,0,2,1,1,3,1,164,3,130,22,11,2,6,30.43,10.2362963,15.27111111,12.0670813,69.76333333,13.76296296,10.74596669,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0
